"STUDYID","N","N_WITH_AE","TOT_EXP","SAF_TOPIC","ARM","HIST"
"101_1",1000,186,232.811606707614,"Diar","Arm 1.1",1
"101_2",1000,206,249.949820051963,"Diar","Arm 1.1",1
"101_3",1000,201,221.182595762131,"Diar","Arm 1.1",1
"101_4",1000,212,236.432853083106,"Naus","Arm 1.1",1
"101_5",1000,189,192.795934678972,"Diar","Arm 1.1",0
"101_6",1000,99,161.393058933285,"Diar","Arm 1.2",1
"101_7",1000,104,159.444771495914,"Diar","Arm 1.2",1
"101_8",1000,128,238.754067259177,"Naus","Arm 1.2",1
"101_9",1000,109,161.892815377963,"Diar","Arm 1.2",1
"101_10",1000,101,153.008332037751,"Diar","Arm 1.2",0
"101_11",1000,499,583.057900119505,"Naus","3",1
"101_12",1000,524,662.165417042064,"Naus","3",1
"101_13",1000,463,534.049157306372,"Diar","3",1
"101_14",1000,503,617.44292153408,"Naus","3",1
"101_15",1000,503,647.891564904953,"Naus","3",0
"101_16",1000,309,419.10026863973,"Naus","4",1
"101_17",1000,277,391.014929524768,"Naus","4",1
"101_18",1000,274,395.054139818767,"Diar","4",1
"101_19",1000,313,405.020251155681,"Naus","4",1
"101_20",1000,296,435.926457056879,"Naus","4",0
"101_21",1000,0,0,"Naus","4",1
"101_22",1000,NA,NA,"Naus","4",1
"101_23",1000,289,NA,"Naus","4",1
"101_19",1000,313,405.020251155681,"Naus","4",1
