"","STUDYID","HIST","ARM","N","SAF_TOPIC","N_WITH_AE","TOT_EXP","DOSE","FREQ","LENGTH","TREAT","REGION"
"1","Study#1",1,"g1",143,"vomitting",34,257.9785945,150,2,120,"AgentA","Africa"
"2","Study#1",1,"g1",120,"vomitting",26,338.1834974,250,3,240,"AgentB","America"
"3","Study#1",1,"g1",198,"vomitting",27,318.6510371,500,1,365,"Placebo","Eurasia"
"4","Study#1",1,"g1",179,"insomnia",36,316.2042994,150,3,365,"AgentA","Eurasia"
"5","Study#1",1,"g1",200,"insomnia",33,334.9454521,250,1,120,"AgentB","Africa"
"6","Study#1",1,"g1",156,"insomnia",32,262.2438,500,2,240,"Placebo","America"
"7","Study#2",0,"g2",187,"vomitting",58,226.693559058029,150,3,240,"AgentA","Eurasia"
"8","Study#2",0,"g2",109,"vomitting",65,334.7325520634,250,1,240,"AgentB","America"
"9","Study#2",0,"g2",190,"vomitting",57,263.326601492173,500,2,365,"Placebo","Africa"
"10","Study#2",0,"g2",119,"insomnia",55,203.990351760941,150,3,120,"AgentA","Eurasia"
"11","Study#2",0,"g2",124,"insomnia",59,273.149897984045,250,1,365,"AgentB","America"
"12","Study#1",0,"g2",200,"insomnia",34,193.0271,500,2,240,"Placebo","Eurasia"
"13","Study#3",1,"g3",138,"vomitting",58,226.6936,150,3,240,"AgentA","Africa"
"14","Study#3",1,"g3",114,"vomitting",65,334.7326,250,1,365,"AgentB","America"
"15","Study#3",1,"g3",121,"vomitting",55,203.9904,500,2,120,"Placebo","Africa"
"16","Study#3",1,"g3",200,"insomnia",59,213.9094,150,2,240,"AgentA","Eurasia"
"17","Study#3",1,"g3",183,"insomnia",57,263.3266,250,3,365,"AgentB","America"
"18","Study#3",1,"g3",163,"insomnia",36,316.2045,500,1,120,"Placebo","Africa"
